trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.98}",30,0,-208.47457615931145,"{0: 18, 1: 0, 2: 7, 3: 2, 4: 3}",0
2,False,"{'a': 0.1, 'e': 1.96}",25,9,-59.175906277057756,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
3,False,"{'a': 0.1, 'e': 1.94}",20,0,-122.89242000024984,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 1.92}",25,0,-108.40107251422545,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
5,False,"{'a': 0.1, 'e': 1.9}",20,0,-122.78910673658231,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.1, 'e': 1.88}",25,0,-116.54200316680827,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.1, 'e': 1.8599999999999999}",20,0,-19.146441112643764,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 1.8399999999999999}",25,0,-82.41797500145778,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 0.1, 'e': 1.8199999999999998}",20,0,-178.66593947234261,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.1, 'e': 1.7999999999999998}",30,0,-220.029334541365,"{0: 15, 1: 3, 2: 6, 3: 4, 4: 2}",0
11,False,"{'a': 0.1, 'e': 1.7799999999999998}",20,0,-179.4043204390924,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.1, 'e': 1.7599999999999998}",25,0,-83.34640111887491,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.1, 'e': 1.7399999999999998}",20,0,-130.54662292406925,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.1, 'e': 1.7199999999999998}",20,0,-214.88872265201815,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
15,False,"{'a': 0.1, 'e': 1.6999999999999997}",20,0,-230.0982258808171,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 4}",0
16,False,"{'a': 0.1, 'e': 1.6799999999999997}",25,0,-168.4167516204986,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.1, 'e': 1.6599999999999997}",20,0,-95.92985015413754,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 1.6399999999999997}",20,0,-68.34169742449467,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.1, 'e': 1.6199999999999997}",30,0,-110.08177210736783,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 1.5999999999999996}",20,0,-168.66434040237885,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.1, 'e': 1.5799999999999996}",20,0,-116.51947308982609,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
22,False,"{'a': 0.1, 'e': 1.5599999999999996}",20,0,-116.60370782952504,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
23,False,"{'a': 0.1, 'e': 1.5399999999999996}",20,0,-75.47122699950005,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.1, 'e': 1.5199999999999996}",30,0,-227.728544804018,"{0: 13, 1: 5, 2: 8, 3: 1, 4: 3}",0
25,False,"{'a': 0.1, 'e': 1.4999999999999996}",20,0,-211.50912020412073,"{0: 7, 1: 4, 2: 4, 3: 2, 4: 3}",0
26,False,"{'a': 0.1, 'e': 1.4799999999999995}",20,0,-147.22439414486044,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
27,False,"{'a': 0.1, 'e': 1.4599999999999995}",20,0,-167.44599598487864,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.1, 'e': 1.4399999999999995}",30,0,-151.9880994881906,"{0: 12, 1: 9, 2: 8, 3: 0, 4: 1}",0
29,False,"{'a': 0.1, 'e': 1.4199999999999995}",20,0,-201.64038605285663,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
30,False,"{'a': 0.1, 'e': 1.3999999999999995}",25,0,-204.66359473808734,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
31,False,"{'a': 0.1, 'e': 1.3799999999999994}",20,0,-81.8169573804727,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.1, 'e': 1.3599999999999994}",25,0,-40.43010896299279,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.1, 'e': 1.3399999999999994}",30,0,-176.27485116278234,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
34,False,"{'a': 0.1, 'e': 1.3199999999999994}",20,0,-66.33513466053675,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
35,False,"{'a': 0.1, 'e': 1.2999999999999994}",20,0,-168.66833898033525,"{0: 7, 1: 3, 2: 8, 3: 0, 4: 2}",0
36,False,"{'a': 0.1, 'e': 1.2799999999999994}",20,0,-82.21898535935145,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
37,False,"{'a': 0.1, 'e': 1.2599999999999993}",20,0,-105.34290631700186,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.1, 'e': 1.2399999999999993}",20,1,-19.68360073453816,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.1, 'e': 1.2199999999999993}",30,4,-165.8770573719401,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 2}",1
