trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.45}",20,0,-82.72554887191038,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.4}",25,0,-130.27780195908977,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.35000000000000003}",20,0,-34.41358964880381,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.30000000000000004}",25,0,-139.02495657001924,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.25000000000000006}",25,0,-51.95646697070575,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.20000000000000007}",20,1,-19.904018807023224,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.1, 'e': 0.15000000000000008}",20,7,-2.0565146152128566,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.1, 'e': 0.10000000000000007}",25,0,-10.768783995480257,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.05000000000000007}",25,0,21.788225747006006,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 6.938893903907228e-17}",25,0,-83.69513009843506,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.1, 'e': -0.04999999999999993}",30,24,9.055022111608093,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.1, 'e': -0.09999999999999994}",20,16,6.2592761665291725,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': -0.14999999999999994}",25,0,-7.389887639146514,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': -0.19999999999999996}",25,0,-28.735441890461914,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.1, 'e': -0.24999999999999994}",25,7,-11.884039736173964,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.1, 'e': -0.29999999999999993}",25,0,34.41513781799606,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': -0.3499999999999999}",20,0,16.048987593554582,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': -0.3999999999999999}",30,15,20.860138453691203,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': -0.4499999999999999}",20,15,9.84530172777818,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.1, 'e': -0.4999999999999999}",20,0,5.6177884578054185,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-19.666114946670945,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,15,-23.236977021306135,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,4,-39.5693347166279,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-14.203455581189786,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,16,6.934058147329566,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,21,19.955250776327002,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,6,30.05143268027131,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,18,8.34001367241734,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,-5.965259237431564,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,11,10.679684731262585,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
