trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",30,3,-116.48015882353795,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.96}",20,0,-233.97033620358943,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.94}",20,0,-41.509969214593056,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-152.16915931365932,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-114.07247426689436,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-206.84797321180133,"{0: 8, 1: 3, 2: 12, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-106.69715621476985,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-210.5250788275165,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-111.02031717889551,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-106.55701567379262,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.7799999999999998}",35,9,-129.83046928094515,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.7599999999999998}",30,0,-92.42632862379585,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,0,-235.3017142292355,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.7199999999999998}",35,0,-111.93294533216074,"{0: 25, 1: 4, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,2,-62.3615085921871,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,1,-144.88405112326075,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,14,1.6906725717525504,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
