trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-98.9314166068038,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-65.09312289410101,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-176.87498195308964,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-96.9725806595644,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-121.38346202923803,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-66.90821374357289,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,5,-39.69697611055471,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-70.0383965945707,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,8,-74.60581203570742,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-103.48550383873867,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-174.21991135618123,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-99.77687876128073,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-61.92448798362149,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-98.22797835063055,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-15.433687587749484,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-38.395719259775646,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-173.66661695950495,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-212.81139572467356,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-156.49864891001482,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-61.68613871031192,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-127.07697440121183,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",35,0,-234.7937558546668,"{0: 22, 1: 2, 2: 5, 3: 2, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",25,0,-31.681324120355026,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-129.05230134703712,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-95.37083654161887,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,14,-83.55608090194372,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-72.87442684046137,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-87.90090595773448,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-88.1191749709568,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-171.8625325765757,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
